date,headline,source
2022-01-03,Bitcoin starts new year above $46000 as bulls eye fresh all-time highs,CoinDesk
2022-01-10,Bitcoin falls below $42000 amid broader crypto market selloff,CoinTelegraph
2022-01-17,Bitcoin drops to $42000 as inflation fears rattle risk assets,Reuters
2022-01-22,Bitcoin plunges below $36000 in broad crypto market rout,Bloomberg
2022-01-25,Bitcoin rebounds to $37000 after severe weekend losses,CoinDesk
2022-02-04,Bitcoin climbs back above $41000 on positive macro sentiment,CoinTelegraph
2022-02-10,Bitcoin holds steady near $44000 ahead of US inflation data,Reuters
2022-02-16,Bitcoin rises above $44000 as institutional demand picks up,Bloomberg
2022-02-24,Bitcoin crashes below $35000 after Russia invades Ukraine,CoinDesk
2022-03-01,Bitcoin recovers to $43000 as markets stabilize post-invasion,CoinTelegraph
2022-03-14,Bitcoin surges past $39000 as risk appetite returns to markets,Reuters
2022-03-28,Bitcoin climbs to $47000 on institutional buying and macro tailwinds,CoinDesk
2022-04-04,Bitcoin retreats to $46000 as Fed signals aggressive rate hikes,Bloomberg
2022-04-11,Bitcoin slides below $40000 on hawkish Fed minutes,CoinTelegraph
2022-04-18,Bitcoin struggles near $41000 amid persistent inflation concerns,Reuters
2022-05-02,Bitcoin falls sharply to $38000 as tech stocks plummet,CoinDesk
2022-05-09,Bitcoin crashes below $31000 as Terra Luna collapse spreads fear,CoinTelegraph
2022-05-12,Bitcoin plunges to $26000 in historic selloff tied to UST depeg,Bloomberg
2022-05-17,Bitcoin attempts recovery to $30000 after catastrophic Luna crash,CoinDesk
2022-05-26,Bitcoin stabilizes near $29000 as dust settles from Terra collapse,Reuters
2022-06-06,Bitcoin falls back toward $30000 amid persistent macro headwinds,CoinTelegraph
2022-06-13,Bitcoin crashes below $23000 as Celsius Network halts withdrawals,CoinDesk
2022-06-18,Bitcoin slides to $18000 lowest since 2020 on Celsius contagion fears,Bloomberg
2022-06-25,Bitcoin stabilizes near $21000 as liquidations slow,CoinDesk
2022-07-04,Bitcoin holds $19000 support amid continued bear market pressure,CoinTelegraph
2022-07-11,Bitcoin rebounds toward $21000 as risk sentiment briefly improves,Reuters
2022-07-18,Bitcoin jumps to $23000 on hopes of Fed pivot amid slowing growth,CoinDesk
2022-07-26,Bitcoin surges past $21000 after Fed raises rates by 75bps as expected,Bloomberg
2022-08-01,Bitcoin climbs toward $24000 on improving macro outlook,CoinTelegraph
2022-08-08,Bitcoin soars past $24000 on better than expected US jobs data,CoinDesk
2022-08-15,Bitcoin tests $25000 resistance as summer rally continues,Reuters
2022-08-19,Bitcoin drops sharply back to $21000 after Fed Jackson Hole speech,Bloomberg
2022-08-29,Bitcoin falls below $20000 as Fed commits to fighting inflation,CoinDesk
2022-09-06,Bitcoin struggles near $19000 amid risk-off environment,CoinTelegraph
2022-09-13,Bitcoin crashes to $20000 on hotter than expected CPI data,Reuters
2022-09-19,Bitcoin trades sideways near $19000 ahead of FOMC meeting,CoinDesk
2022-09-26,Bitcoin slides to $19000 as dollar strengthens to 20-year high,Bloomberg
2022-10-03,Bitcoin climbs toward $20000 as risk assets broadly recover,CoinTelegraph
2022-10-10,Bitcoin holds $19000 as crypto markets await macro catalysts,CoinDesk
2022-10-17,Bitcoin tests $20000 resistance in quiet trading session,Reuters
2022-10-24,Bitcoin reclaims $20000 briefly as bulls attempt recovery,Bloomberg
2022-11-07,Bitcoin drops to $20000 as FTX liquidity concerns emerge,CoinDesk
2022-11-08,Bitcoin plunges to $16000 as FTX crisis deepens and contagion spreads,CoinTelegraph
2022-11-10,Bitcoin falls further to $15700 as FTX files for bankruptcy,Reuters
2022-11-16,Bitcoin hovers near $16500 as market assesses FTX fallout,Bloomberg
2022-11-22,Bitcoin holds $16000 as BlockFi files for bankruptcy amid FTX contagion,CoinDesk
2022-12-05,Bitcoin attempts recovery toward $17000 as contagion fears ease slightly,CoinTelegraph
2022-12-12,Bitcoin climbs to $18000 on reduced selling pressure,Reuters
2022-12-19,Bitcoin slips back to $16500 as year-end tax loss selling pressure mounts,CoinDesk
2022-12-30,Bitcoin ends 2022 near $16500 down over 65 percent for the year,Bloomberg
2023-01-09,Bitcoin kicks off 2023 with strong rally above $17000,CoinDesk
2023-01-16,Bitcoin surges past $21000 as inflation cools and risk appetite returns,CoinTelegraph
2023-01-23,Bitcoin climbs to $23000 extending new year rally,Reuters
2023-02-01,Bitcoin pulls back to $23000 after strong January run,Bloomberg
2023-02-13,Bitcoin recovers to $22000 after brief dip below $21000,CoinDesk
2023-02-21,Bitcoin slips to $24000 as dollar strength weighs on risk assets,CoinTelegraph
2023-03-06,Bitcoin surges past $22000 as Silvergate Bank collapse fears emerge,Reuters
2023-03-13,Bitcoin surprisingly rallies to $25000 during SVB banking crisis,CoinDesk
2023-03-20,Bitcoin holds $28000 as banking contagion fears ease,Bloomberg
2023-03-27,Bitcoin breaks above $28000 marking best monthly performance in years,CoinTelegraph
2023-04-10,Bitcoin consolidates near $30000 after strong first quarter,CoinDesk
2023-04-17,Bitcoin tests $30000 resistance for the third time,Reuters
2023-04-24,Bitcoin dips to $27000 as selling pressure increases near resistance,Bloomberg
2023-05-01,Bitcoin holds $29000 support amid ongoing macro uncertainty,CoinDesk
2023-05-08,Bitcoin falls to $27500 as risk assets broadly decline,CoinTelegraph
2023-05-15,Bitcoin stabilizes near $27000 as crypto market digests macro data,Reuters
2023-06-05,Bitcoin jumps to $27000 as SEC sues Binance and Coinbase,CoinDesk
2023-06-15,Bitcoin recovers to $26000 after regulatory shock subsides,Bloomberg
2023-06-21,Bitcoin surges past $30000 on BlackRock Bitcoin ETF application news,CoinTelegraph
2023-06-28,Bitcoin holds $30000 as institutional interest in ETF approval grows,CoinDesk
2023-07-10,Bitcoin climbs toward $31000 on continued ETF optimism,Reuters
2023-07-17,Bitcoin tests $32000 as ETF narrative strengthens,Bloomberg
2023-07-24,Bitcoin consolidates near $29000 after Ripple partial court victory,CoinDesk
2023-08-07,Bitcoin falls to $29000 as SpaceX Bitcoin write-down reported,CoinTelegraph
2023-08-14,Bitcoin slides below $26000 on Evergrande US bankruptcy filing,Reuters
2023-08-21,Bitcoin holds $26000 as market finds footing after selloff,CoinDesk
2023-09-11,Bitcoin recovers toward $26000 after summer lows,Bloomberg
2023-09-18,Bitcoin trades near $27000 ahead of FOMC decision,CoinTelegraph
2023-09-25,Bitcoin dips to $26000 as dollar strengthens following Fed hold,CoinDesk
2023-10-02,Bitcoin climbs toward $28000 on growing ETF approval expectations,Reuters
2023-10-16,Bitcoin surges to $28000 on fake news of BlackRock ETF approval,Bloomberg
2023-10-23,Bitcoin breaks above $34000 on genuine ETF approval momentum,CoinDesk
2023-10-30,Bitcoin holds $34000 as October proves strongest month of 2023,CoinTelegraph
2023-11-06,Bitcoin climbs past $35000 as ETF approval odds increase significantly,Reuters
2023-11-13,Bitcoin breaks above $37000 continuing strong bull run,Bloomberg
2023-11-20,Bitcoin surges past $37000 as spot ETF approval seems imminent,CoinDesk
2023-12-04,Bitcoin approaches $44000 for first time since early 2022,CoinTelegraph
2023-12-11,Bitcoin holds $41000 ahead of year-end positioning,Reuters
2023-12-18,Bitcoin climbs back toward $43000 on ETF optimism,Bloomberg
2023-12-28,Bitcoin ends 2023 near $42000 up over 150 percent for the year,CoinDesk
2024-01-10,Bitcoin spot ETF approval by SEC triggers massive volume surge,CoinDesk
2024-01-11,Bitcoin dips to $46000 after buy the news sell the event ETF launch,Bloomberg
2024-01-22,Bitcoin falls to $39000 as ETF outflows from Grayscale weigh on price,CoinTelegraph
2024-02-05,Bitcoin recovers above $43000 as ETF inflows begin to dominate,Reuters
2024-02-26,Bitcoin surges past $57000 as ETF demand overwhelms selling pressure,CoinDesk
2024-03-04,Bitcoin breaks $69000 all-time high ahead of halving,Bloomberg
2024-03-11,Bitcoin sets new all-time high above $73000 driven by ETF inflows,CoinTelegraph
2024-03-18,Bitcoin corrects to $65000 after historic all-time high,CoinDesk
2024-04-01,Bitcoin holds $70000 ahead of halving event in mid-April,Reuters
2024-04-15,Bitcoin halving occurs at block 840000 with price near $64000,Bloomberg
2024-04-22,Bitcoin dips to $60000 post-halving as sell the news pressure emerges,CoinDesk
2024-05-06,Bitcoin recovers to $63000 as post-halving selling pressure eases,CoinTelegraph
2024-05-20,Bitcoin surges back toward $71000 as ETF inflows resume strongly,Reuters
2024-06-10,Bitcoin consolidates near $68000 as market awaits macro catalysts,Bloomberg
2024-06-24,Bitcoin holds $61000 amid summer volatility and profit taking,CoinDesk
